insert 9687746 0,15918711859695 240
insert 6911177 0,0954326019135456 66
insert 9469198 0,851806909708216 27
insert 1635339 0,207978856381019 202
insert 32842 0,54396546703948 272
insert 8189228 0,982804838559965 258
insert 7945629 0,971742551760628 238
insert 9643940 0,44320473328382 352
insert 6775670 0,299846668867323 237
insert 5262204 0,478943731858834 212
insert 1261064 0,646106863229585 15
insert 1981984 0,244061919974192 285
insert 7758876 0,650768552278526 25
insert 7383317 0,0130051798247756 253
insert 5132749 0,777213734005212 294
insert 4775974 0,214383124939344 245
insert 9089331 0,640735121742233 84
insert 6737322 0,666116606754305 336
insert 9497663 0,500670950161606 278
insert 1267667 0,0135506726864496 286
insert 5249258 0,420699348869128 134
insert 4868786 0,0374274728994013 202
insert 5195333 0,805085769298061 107
insert 9638937 0,0430351915038355 119
insert 6472779 0,0562311802321259 345
insert 9592409 0,451119089709185 239
insert 1591212 0,199969615414724 30
insert 9769837 0,617287344121042 301
insert 3544575 0,452374232677917 352
insert 1085577 0,248432076186143 267
insert 192364 0,649120949976668 229
insert 2751343 0,213405882107749 213
insert 3300612 0,0263963579323126 266
insert 2569104 0,958064111395769 147
insert 3827236 0,945039400339611 215
insert 9027670 0,0264543397475287 219
insert 9768871 0,990525488737284 17
insert 1087852 0,967645464449956 292
insert 7101223 0,547942169265795 289
insert 5346545 0,132421018151762 210
insert 5818817 0,410975596593216 200
insert 5565125 0,944657270305165 141
insert 6948184 0,372143522078238 303
insert 3664315 0,629179700105069 152
insert 9262047 0,902210752434195 87
insert 6761661 0,594260040016035 242
insert 2405086 0,451690484979977 153
insert 3701048 0,131670552832852 92
insert 6938391 0,910451202145988 245
insert 8236368 0,565012010543147 239
insert 7888938 0,795406639946348 321
insert 1547330 0,675028754712562 196
insert 8526436 0,826211083599464 0
insert 2037856 0,20794869317112 235
insert 7670601 0,610455621783834 130
insert 6248291 0,182580520949597 23
insert 5716755 0,0339562008315493 343
insert 1311640 0,294145887854577 245
insert 1591333 0,211776906723053 100
insert 2987471 0,862673467892536 12
insert 7124387 0,87118158436901 290
insert 1773615 0,577537714772642 300
insert 5307473 0,771471717288472 81
insert 6948169 0,823522525757329 276
insert 6718658 0,036722991166973 87
insert 7716090 0,603044701555299 187
insert 8965607 0,0690099806846166 262
insert 6160407 0,251961269067582 191
insert 7117815 0,657729765240909 180
insert 2132448 0,99559967359323 166
insert 2677834 0,553896556866307 346
insert 9661760 0,491346932710776 121
insert 8471793 0,589698543115379 11
insert 5275727 0,094081736679227 147
insert 8382527 0,876858564036367 75
insert 1856331 0,459298247219668 92
insert 4369887 0,387524272029998 219
insert 7580901 0,402186306846415 285
insert 3063353 0,096397982489503 222
insert 2760757 0,465580001690229 331
insert 3325123 0,317502585387557 279
insert 7639301 0,427033518174213 97
insert 8045113 0,705689751871717 196
insert 9069746 0,924429769126898 4
insert 4882970 0,36898807034315 350
insert 3167618 0,777788059216825 135
insert 3206221 0,526148410759004 71
insert 2438378 0,776256065245837 218
insert 8545196 0,509693358330845 54
insert 1698741 0,659840674912483 142
insert 7175467 0,571103604310706 44
insert 1131099 0,195060420406545 279
insert 6352367 0,0743225645620015 161
insert 9408077 0,381121832123549 271
insert 7120468 0,53001405835618 166
insert 5953860 0,269793088673518 11
insert 8187352 0,98957350942752 114
insert 2441176 0,955453567186116 338
insert 7213764 0,088674452662782 194
insert 1677966 0,90941050691037 330
insert 1179157 0,634637212210632 16
insert 1504271 0,189427889506066 127
insert 8892276 0,37518706655837 62
insert 1983490 0,681525117569382 253
insert 9252776 0,379814428454179 52
insert 4448230 0,531791017172761 88
insert 1449808 0,259133596093922 86
insert 1185120 0,35113888529648 241
insert 763390 0,47342918323047 221
insert 1846869 0,391733525968964 38
insert 2353326 0,467440117833875 59
insert 5324848 0,822891987312069 268
insert 7077594 0,561619729996482 122
insert 1097683 0,706158429713062 322
insert 8592705 0,62038615048881 110
insert 6151444 0,31883995110115 207
insert 7944050 0,276553408837204 200
insert 2950045 0,0228157434718757 234
insert 6774398 0,999403705354502 102
insert 3755819 0,0740880812863298 257
insert 7376761 0,704540666520847 354
insert 675416 0,96301646156377 77
insert 5385534 0,392792773150277 200
insert 3985419 0,737063604284573 349
insert 9056558 0,0352125605732261 199
insert 3452942 0,259241426949967 263
insert 3622187 0,461194598330741 55
insert 400108 0,390281938198154 41
insert 5495025 0,940328117897887 160
insert 5146351 0,855044995832744 296
insert 4629862 0,332177506914445 175
insert 6245874 0,372092210395305 0
insert 9111524 0,791728904373818 236
insert 939633 0,0765909916146616 333
insert 187166 0,395863053573232 194
insert 5867121 0,38934867521252 355
insert 973017 0,332145642643862 266
insert 5527455 0,0133631378474474 220
insert 5614094 0,69766522929895 113
insert 8682734 0,518039149939101 8
insert 7694606 0,0239182901680089 193
insert 7334341 0,935555665723773 145
insert 4826396 0,281068375465026 238
insert 5513574 0,434141766016438 168
insert 733830 0,268255381504193 138
insert 2285420 0,0212942008028246 357
insert 5756903 0,962790383939999 198
insert 4570211 0,417333402399595 188
insert 833260 0,910240700892285 114
insert 8746381 0,0631779884282397 242
insert 6873590 0,0428790580680962 98
insert 6346813 0,324502766749124 18
insert 3882994 0,285282538405285 165
insert 1346037 0,104072509847615 38
insert 3244828 0,545944341246944 323
insert 2726497 0,47936254622385 268
insert 2282898 0,332867419967832 243
insert 3198398 0,292583110878516 199
insert 4717089 0,312439433910157 218
insert 148484 0,650108155631511 9
insert 860717 0,608001472711564 78
insert 9886933 0,863998368319123 140
insert 1938227 0,438701700623474 339
insert 3319309 0,840242653545105 264
insert 5341114 0,441086605396628 309
insert 4426991 0,132538358742622 313
insert 6248954 0,810676247724647 155
insert 5737066 0,646348289515054 262
insert 9980559 0,36751919117175 270
insert 7184409 0,162972444278641 4
insert 4460878 0,373450976504689 228
insert 4349924 0,0485319788793716 178
insert 8903899 0,335789463639161 245
insert 5067411 0,0788269876869521 14
insert 8013551 0,896358970970083 177
insert 9403593 0,785728346922308 306
insert 6965308 0,0290097580426418 64
insert 7351958 0,389952947567195 302
insert 5944368 0,512365115579388 346
insert 4875798 0,990637416481337 178
insert 6409667 0,475381779705818 99
insert 9316892 0,885843091591188 168
insert 1008372 0,0991190737574916 141
insert 3626468 0,552309230227167 286
insert 1894430 0,118154307882373 263
insert 3902173 0,772351471135556 269
insert 2376858 0,0576965865016433 209
insert 8987994 0,021910096528898 48
insert 8321622 0,710891987062475 354
insert 7957424 0,840555612854918 193
insert 5344178 0,402810094134328 124
insert 1854667 0,865774407920323 217
insert 7649315 0,869665859672085 3
insert 258330 0,839522086474822 247
insert 4589418 0,333884054950384 171
insert 3831521 0,545752738390934 97
insert 1075826 0,204219501094995 266
insert 2116638 0,249894016538697 335
insert 9146883 0,742167319051068 163
insert 1417665 0,0995270242446694 62
insert 4832936 0,305094804756853 93
insert 8563877 0,828228983016791 53
insert 4515968 0,003976292444382 90
insert 1284040 0,625285719812515 324
insert 7394734 0,211852712655371 78
insert 8951815 0,439857562743061 247
insert 6572621 0,449010077607357 59
insert 7116993 0,688159826997742 229
insert 7961532 0,322753989288003 55
insert 4122112 0,270778462882516 44
insert 1499735 0,623165019146709 277
insert 8355647 0,542539441279387 192
insert 4280458 0,60255411574736 182
insert 3272013 0,931555332118438 195
insert 194187 0,979178595812609 208
insert 8373280 0,472190425485461 13
insert 7147663 0,0195067618133066 108
insert 7654456 0,484504411688309 234
insert 98118 0,771594258850251 222
insert 6222273 0,0602345443611194 181
insert 9965830 0,0393856307675064 263
insert 1287728 0,978430527252346 0
insert 1325467 0,903908664315896 240
insert 6837472 0,467135758822381 301
insert 1823709 0,33006076669789 186
insert 6233628 0,692280649529901 255
insert 574023 0,958825185875793 306
insert 1148747 0,697444887225258 90
insert 8212973 0,384527883205809 49
insert 1196218 0,825752918993008 277
insert 9174923 0,805818463119594 195
insert 1800 0,330618333225426 321
insert 8085786 0,890645928629975 0
insert 5768130 0,704781256944305 204
insert 3687280 0,0310191116440199 198
insert 4650063 0,583074671953486 55
insert 1330622 0,386449053132184 28
insert 9079537 0,564825018665206 36
insert 6549114 0,881708284784904 123
insert 4819261 0,307475478531549 213
insert 8634600 0,0129248872459516 28
insert 8983680 0,766254914349995 238
insert 2949838 0,182190891440115 359
insert 6252850 0,814784186340302 288
insert 7082331 0,48058924986077 91
insert 2822818 0,746146741204963 239
insert 6989006 0,356291023248942 288
insert 9842169 0,98655968764171 158
insert 6916315 0,00953855738487959 86
insert 4409102 0,345268648278559 161
insert 5502289 0,32665248789203 209
insert 4068454 0,713352987409268 249
insert 4901260 0,470359943560492 95
insert 8910537 0,170022433702844 144
insert 1550012 0,507777157010407 205
insert 2776788 0,199720583949108 30
insert 8473654 0,372629627293269 48
insert 6755149 0,783025430414372 342
insert 7924494 0,879243130739426 9
insert 6388518 0,206736515838064 272
insert 4203238 0,854073662708548 301
insert 5505323 0,0750560863293037 175
insert 2184642 0,301387738111144 276
insert 5621875 0,792155786786301 99
insert 4016615 0,807846990790147 67
insert 4005694 0,829215750950023 172
insert 8676389 0,41395268468836 291
insert 1567576 0,593544783347074 350
insert 3133485 0,874713989847672 195
insert 6319859 0,614395991719512 300
insert 6654911 0,851274136384611 94
insert 5080478 0,470729856039737 113
insert 5639615 0,604468826486016 155
insert 835331 0,0592146176189252 323
insert 3169995 0,285177870320705 208
insert 8597747 0,273853389673798 351
insert 7649158 0,391880002055261 18
insert 5475826 0,771212880393124 285
insert 9468983 0,263566175598449 93
insert 8642832 0,237183880171359 72
insert 9445046 0,58647827598568 247
insert 9331264 0,896696389139023 338
insert 121633 0,893613737958304 121
insert 8703198 0,836607893387139 80
insert 460614 0,784105830725332 127
insert 9114851 0,839758169297016 111
insert 3921651 0,453573758925113 216
insert 5684486 0,867070129079311 80
insert 7840824 0,117908501121173 28
insert 4708395 0,561149456799566 74
insert 554198 0,699678315175547 132
insert 2323789 0,139028527372996 170
insert 2113410 0,383873100571275 139
insert 6395921 0,847611376013426 136
insert 6380613 0,894596047184708 199
insert 8252804 0,501521209022739 355
insert 4380457 0,0354132559315363 152
insert 9521619 0,472118041697945 282
insert 5994814 0,376056023117181 258
insert 4644757 0,14904392890122 280
insert 8608203 0,54132377334932 119
insert 1299534 0,814899926918978 49
insert 8574619 0,813682485750729 232
insert 8820017 0,700144028151475 164
insert 9198854 0,752572990373044 218
insert 2206209 0,930387312979618 350
insert 6672438 0,958802021555045 221
insert 929542 0,032793832492453 189
insert 7833556 0,103257925297719 81
insert 5836748 0,632897477891714 274
insert 7533281 0,746865342718952 84
insert 6096935 0,778771795695076 110
insert 477753 0,508107850564694 28
insert 4183425 0,967818477176045 247
insert 3420297 0,556044038644081 120
insert 9679229 0,0322765344904161 259
insert 1776477 0,378860547849378 160
insert 7469340 0,797231875731252 68
insert 1624005 0,767866188086507 183
insert 8067280 0,346597780169266 256
insert 9093693 0,273787153080938 65
insert 8821047 0,128673530709312 343
insert 2210558 0,310191838680856 350
insert 2996747 0,172845577901623 152
insert 8927779 0,248901350539597 356
insert 9285485 0,75092446000824 171
insert 1904669 0,815432736564163 25
insert 5080152 0,406027086733853 91
insert 3173037 0,0063941297151121 341
insert 445872 0,447292997244416 3
insert 7977576 0,241047290266048 58
insert 3680541 0,508973225722543 249
insert 5070537 0,459924947218935 153
insert 3819905 0,746867040520006 259
insert 7457438 0,877972958086977 74
insert 233892 0,854156103382891 197
insert 1992583 0,233852027092991 6
insert 317801 0,616261107202741 191
insert 6406606 0,401354082581286 312
insert 9267480 0,56480100497827 44
insert 36452 0,176468632731805 310
insert 9628955 0,501917118440344 335
insert 2607693 0,524723842984402 266
insert 2969522 0,421494853413429 104
insert 493792 0,808476430740429 24
insert 3488966 0,76227136550577 190
insert 480219 0,293914546395612 54
insert 4013029 0,845328901356705 76
insert 9939638 0,765977514798743 224
insert 6303450 0,727393507830516 38
insert 8262712 0,580305637596317 322
insert 3050911 0,378345323902716 205
insert 8591858 0,782848269577533 135
insert 2742166 0,762619855703143 118
insert 8084024 0,902306142683283 292
insert 7259422 0,982400861094892 290
insert 4625993 0,291763915816212 230
insert 3397059 0,878726117722097 97
insert 9700413 0,602342276648778 119
insert 6494578 0,968931707539098 264
insert 3070121 0,630424365229171 287
insert 6323089 0,47068096253587 302
insert 3958755 0,744288178973034 154
insert 4981672 0,489710840624622 352
insert 1519982 0,773805277782402 191
insert 8228057 0,592900541421445 339
insert 4010837 0,268021664241339 282
insert 8170015 0,167745679229379 156
insert 4685364 0,486565320047813 252
insert 6242374 0,33504973227859 279
insert 2392586 0,209727983088106 293
insert 6401162 0,967204577739911 47
insert 5321019 0,176093418698801 155
insert 9711679 0,330066644740322 85
insert 3776535 0,96443205930499 288
insert 6596596 0,187707648699967 37
insert 7395917 0,147235608728247 3
insert 3881169 0,248374074813153 252
insert 9523629 0,490010597971273 166
insert 3617007 0,163772555610059 354
insert 1396096 0,771638086890633 147
insert 6541280 0,258908611842854 100
insert 1655065 0,51188205299521 290
insert 3990992 0,29070384068913 150
insert 5113975 0,42991583860941 337
insert 5454639 0,439347936976397 73
insert 6335765 0,808876804918459 107
insert 5966586 0,884645715767818 67
insert 7665613 0,851141703711423 346
insert 1130065 0,687753286067281 171
insert 6695168 0,17040118210502 4
insert 4475095 0,831558261919561 201
insert 8288742 0,723525510040822 253
insert 5220702 0,494153087257479 243
insert 2983201 0,340492567671692 308
insert 5926346 0,876719394175671 294
insert 7629550 0,406898978355759 18
insert 2593650 0,728124226316867 127
insert 6852579 0,542951016008365 319
insert 2214243 0,88756674755717 146
insert 3186289 0,0525000151491258 296
insert 3294067 0,729582395744315 43
insert 4044862 0,0638880408666507 215
insert 3795264 0,716589736154578 257
insert 4977901 0,111506299167642 113
insert 6230320 0,29833854003732 195
insert 3312823 0,173926699521917 350
insert 1428956 0,350051494943933 101
insert 4265313 0,410151738398779 159
insert 6574251 0,762251566519147 103
insert 6714361 0,607449912283313 300
insert 2977565 0,20344126839351 158
insert 8516968 0,968913419623353 219
insert 7362291 0,188148352870787 292
insert 2201006 0,383428562145414 248
insert 3348402 0,761574893613148 221
insert 401720 0,0622258954971218 88
insert 3428392 0,890141967632874 256
insert 4333445 0,175733277190352 252
insert 5432744 0,902875401500089 114
insert 6780257 0,747061147236759 108
insert 3097503 0,708090274924454 39
insert 8798636 0,20003363313155 326
insert 8730706 0,771335246866259 118
insert 9332429 0,59505324605622 354
insert 1615909 0,922795012557318 347
insert 5905450 0,0916910847144626 233
insert 8256590 0,617253079366522 252
insert 439947 0,328596963700185 258
insert 1223187 0,864411940735025 9
insert 7392045 0,308422369560423 23
insert 2914795 0,0582034066590496 158
insert 5111948 0,910350328735239 243
insert 5811694 0,454976569607377 202
insert 7085528 0,167101387477993 104
insert 9151873 0,409596246857939 106
insert 7278617 0,271753642368947 91
insert 7358255 0,952729393706065 292
insert 6708538 0,85236667415703 46
insert 6016108 0,265755560838504 136
insert 3918318 0,757544950003524 120
insert 8803570 0,133866093649467 166
insert 2633871 0,641763461586909 193
insert 5446911 0,650396077265216 4
insert 2912846 0,00937564718042298 229
insert 870355 0,117106132263833 162
insert 4091350 0,128807414383072 330
insert 4222192 0,394457013064277 213
insert 7747697 0,00337896449648727 128
insert 2548537 0,620625702021935 74
insert 3112791 0,909584075636037 232
insert 2958449 0,189337539109093 251
insert 2259195 0,828195856804119 11
insert 8279777 0,651800253266376 276
insert 7582388 0,183170560367019 223
insert 2404935 0,444540941829114 339
insert 1744698 0,583818228255873 264
insert 6796563 0,192475780934317 49
insert 4604925 0,969612656147039 130
insert 7429633 0,105587313000852 46
insert 1072199 0,00853340095306439 7
insert 3310131 0,233412003253313 266
insert 3678499 0,995439669580869 295
insert 9392828 0,861116016218958 104
insert 4169163 0,581157251066136 171
insert 1511679 0,663980340894302 76
insert 9713007 0,534276145759167 201
insert 4123392 0,0803838996590971 13
insert 4705761 0,631622761782083 258
insert 5076466 0,835352381614667 79
insert 3343436 0,482956174054628 260
insert 9027481 0,720757869873549 231
insert 7466950 0,427225775284332 341
insert 8805455 0,872643664885612 161
insert 1233156 0,235186906175309 260
insert 4463502 0,262739977921704 220
insert 6599409 0,309324662810808 110
insert 1518014 0,771662660768099 205
insert 5716491 0,694880672122762 334
insert 9843302 0,860436916286329 216
insert 237037 0,860203294484039 57
insert 6003132 0,604939212838625 136
insert 5663017 0,514168233384457 309
insert 8337403 0,404472905865159 85
insert 2615278 0,0907551697877958 238
insert 1097367 0,289023590874404 304
insert 3141052 0,0242259241753379 132
insert 1057897 0,847705636102569 189
insert 9140925 0,182542198422617 256
insert 1512973 0,331099058189941 9
insert 7151173 0,762364739907144 204
insert 3479693 0,856841856547092 4
insert 2890139 0,523002413345036 226
insert 3445423 0,880048534777038 269
insert 7509191 0,82620067653535 325
insert 688777 0,890273588658438 245
insert 9096786 0,461912356066477 146
insert 829525 0,670225024069764 301
insert 2329064 0,917913942093921 4
insert 6340595 0,686220657399958 152
insert 6668663 0,415004355094863 65
insert 8345221 0,118622957784041 231
insert 6699657 0,913558579941075 84
insert 6491921 0,820722766137087 275
insert 2149493 0,969562891856564 51
insert 6203110 0,354870616157945 7
insert 6211759 0,845214818066552 105
insert 303860 0,241618690193453 312
insert 6200201 0,632164843209165 33
insert 7305778 0,115062858031626 338
insert 9999427 0,654954415119698 301
insert 2078506 0,677676040994784 167
insert 5655025 0,916396965233794 254
insert 2627435 0,398912043030798 351
insert 4469941 0,260486575896147 230
insert 6398359 0,868003207663076 252
insert 6920336 0,612595418287718 202
insert 9909926 0,0128836073041352 302
insert 1301284 0,636480306571573 62
insert 3138824 0,214502066939372 175
insert 5499684 0,939387839724956 287
insert 2949853 0,64924939845188 59
insert 9292394 0,00709862122642743 105
insert 6791332 0,0548084699804003 157
insert 3139272 0,358432370870576 160
insert 3155536 0,583391844566628 353
insert 2279971 0,980184212783437 275
insert 3914775 0,0385442641743199 180
insert 3758845 0,00895001320585143 231
insert 9957759 0,077722274268848 14
insert 2916585 0,251620096271681 252
insert 2211196 0,712775140866998 165
insert 1782192 0,152008778952066 220
insert 4754212 0,710596482134702 309
insert 4087752 0,0129003929965666 200
insert 1245696 0,67706545799834 235
insert 3947030 0,814574803605012 19
insert 1922535 0,0858853608769762 84
insert 7222964 0,158490866496456 324
insert 2960282 0,919100810270338 230
insert 5236975 0,933463504972618 334
insert 2506911 0,38747469493536 289
insert 7365787 0,0928076366394794 232
insert 9867785 0,137334314238901 155
insert 3698949 0,752575873282075 97
insert 9032570 0,982702302272759 9
insert 9446804 0,251314913505369 119
insert 9876195 0,601072852314018 94
insert 9881072 0,0994049641766609 59
insert 4675770 0,498823125147644 199
insert 5586806 0,882191004642374 83
insert 9709377 0,951723695710173 279
insert 9315282 0,158084164912852 225
insert 7545985 0,387990922382097 210
insert 87940 0,407924492567742 243
insert 6217053 0,822358613751064 119
insert 9647301 0,819039429919347 63
insert 8751997 0,351347790728951 240
insert 3084148 0,536077971819825 119
insert 6662288 0,262583844020303 103
insert 6374536 0,269001708491241 213
insert 913729 0,428097943974704 91
insert 1984750 0,398957144654802 288
insert 4924547 0,971728809630372 296
insert 4002181 0,190081916837991 310
insert 7476267 0,97882556495202 69
insert 5859069 0,366401876027883 99
insert 8324252 0,502846920631289 244
insert 3784957 0,683480923382324 191
insert 5651220 0,662522962159721 149
insert 4447423 0,265299363185325 322
insert 3373559 0,117144936284584 42
insert 9902733 0,917421050796947 352
insert 4220971 0,423230299457549 152
insert 5324573 0,472275370020548 305
insert 3511704 0,474981531256336 58
insert 8044619 0,560788096189866 200
insert 1392422 0,0803218949960181 322
insert 110233 0,805028390514212 275
insert 9142008 0,712877245486191 268
insert 7243000 0,633353025016074 265
insert 3852064 0,047712428983167 254
insert 9291178 0,0628622058140404 26
insert 7443347 0,757353423981626 22
insert 2133218 0,163809801528142 339
insert 8536448 0,299967937776804 11
insert 8324730 0,0273252832830536 75
insert 3695773 0,760660166275064 36
insert 8583933 0,30550003159116 66
insert 9993183 0,326332586969404 112
insert 3528344 0,0760724936034868 73
insert 2352095 0,69779708408648 284
insert 6869672 0,147250856341445 152
insert 1408811 0,422052610396432 148
insert 883288 0,060127128409281 289
insert 4958478 0,925920481759086 329
insert 9530103 0,157378499003769 181
insert 7355832 0,081727741324216 246
insert 5361176 0,354722755660639 314
insert 6346993 0,52681313665901 267
insert 5214519 0,929799463567231 265
insert 7608204 0,39150035120151 245
insert 8568607 0,97811228315258 167
insert 1532943 0,166677594728152 54
insert 6060086 0,691591901095394 217
insert 7963800 0,281248446684912 252
insert 2983001 0,362545424309813 136
insert 2684653 0,0463079614780415 60
insert 8070560 0,617251188781695 357
insert 5189918 0,699091899534265 123
insert 9171844 0,0522679700759556 223
insert 6823505 0,619429195588189 177
insert 6755897 0,327508458554516 240
insert 1221537 0,638987183868413 341
insert 4504993 0,799716089293228 356
insert 3523433 0,129574627675849 140
insert 802792 0,7397375617827 26
insert 1721598 0,336399122763611 59
insert 3626328 0,252986603534309 318
insert 5675755 0,953764341750073 278
insert 6869361 0,337868865736699 100
insert 1229383 0,236109886428392 41
insert 5322793 0,923658065927987 25
insert 1130195 0,120790360086034 343
insert 319062 0,176146451931515 260
insert 4317713 0,817965998695216 88
insert 1782531 0,454712721730914 175
insert 6042089 0,438712553791102 345
insert 2696000 0,745024594825238 257
insert 4561700 0,319717696085441 131
insert 6087616 0,108014175718657 134
insert 8943776 0,435217563731232 108
insert 6687878 0,327560987010394 202
insert 8762912 0,820064009549126 74
insert 3179731 0,967259763259096 222
insert 1197343 0,140253560217215 57
insert 4407094 0,930861496334365 156
insert 6368996 0,389322347188984 179
insert 2865726 0,0827272660484199 323
insert 3196660 0,853338369565708 176
insert 3985407 0,0761093544196847 217
insert 7057201 0,504257881317408 4
insert 5799958 0,137528645870056 266
insert 4224399 0,762983536237377 176
insert 6829856 0,301961904066597 228
insert 2817599 0,286235777328832 169
insert 3404071 0,149865698604782 217
insert 5556161 0,0154605354254416 139
insert 9314219 0,971862014835636 258
insert 8746924 0,607805013473986 126
insert 4019620 0,349121769121439 170
insert 725209 0,477750502283569 267
insert 6019761 0,612253021268292 166
insert 6061710 0,539738449519378 0
insert 4193237 0,0182695495981116 60
insert 9446155 0,953913960584399 31
insert 8644029 0,00481260195598593 286
insert 4277035 0,979258909811852 253
insert 8863142 0,842924600859603 21
insert 2150841 0,774298126238537 191
insert 2940843 0,705303374540668 190
insert 3884385 0,020477916123568 148
insert 161823 0,610464758058295 296
insert 8906940 0,679783807452667 242
insert 84509 0,734236118725611 219
insert 6020461 0,136292393848436 358
insert 2209782 0,986806394060518 6
insert 6313313 0,0102895889479153 217
insert 5559988 0,974258484772527 133
insert 7707499 0,186206654266551 228
insert 6833058 0,386892021813845 301
insert 9306060 0,312086661491583 300
insert 4730012 0,0308851921143407 359
insert 7540161 0,928433198914134 123
insert 2631490 0,973708850785023 117
insert 1225087 0,419252612823272 88
insert 933454 0,284268136734268 254
insert 634578 0,994105930437383 283
insert 5144478 0,662752970430419 250
insert 9267312 0,832439781554248 16
insert 439989 0,245432447756376 152
insert 1893855 0,207388220917149 105
insert 8360278 0,0778448931304016 151
insert 7756921 0,129044838309775 37
insert 9993993 0,466962046673038 21
insert 6744988 0,368182344067927 13
insert 2779636 0,433490076304176 199
insert 1248400 0,677404524608238 324
insert 9281936 0,619848002968285 141
insert 504631 0,416158203229382 233
insert 1394212 0,546270061073019 71
insert 9515722 0,710017285174698 245
insert 9191910 0,073763540980296 275
insert 321370 0,286480871628263 122
insert 8228733 0,317653247768829 55
insert 6012250 0,0640584808141265 189
insert 7291185 0,839948960505402 106
insert 6584330 0,648767603863388 143
insert 4912135 0,919158839583005 204
insert 5223195 0,261191805946264 211
insert 9001056 0,78556469817905 238
insert 7728157 0,636270884720735 209
insert 9069617 0,0478271502292841 272
insert 3753724 0,755307752990773 105
insert 2702601 0,245826608150185 52
insert 2135981 0,301966734371133 129
insert 7467152 0,326968689135727 200
insert 8656422 0,321344625820101 207
insert 3547630 0,480988241956098 323
insert 7994957 0,460358642721716 284
insert 1149728 0,396871512474898 292
insert 1787804 0,132031314602136 180
insert 6797210 0,0500575676793501 245
insert 5724485 0,694263214103069 5
insert 7701991 0,353746093043008 30
insert 1518 0,388172939134842 145
insert 2519405 0,277615407145403 222
insert 2082766 0,775604367151672 336
insert 317506 0,0344634866502432 167
insert 854774 0,418052701474192 55
insert 6852723 0,107466085863982 211
insert 9660863 0,260399615979008 129
insert 4818470 0,0914796963760069 40
insert 6460930 0,533877122464533 90
insert 6783689 0,174266697920052 227
insert 5395581 0,0954430853461116 348
insert 4915680 0,35461124142381 33
insert 4945614 0,547555204735862 65
insert 1736663 0,906696181700889 223
insert 8783486 0,147029716124306 35
insert 366961 0,594243582614811 227
insert 5260997 0,887176201160614 211
insert 4287628 0,804112806359359 33
insert 7262049 0,518304755221263 106
insert 2891457 0,605847469347458 267
insert 3652829 0,529907732517416 216
insert 3015176 0,492192504225388 338
insert 4966215 0,59390941196769 22
insert 624673 0,190710858530696 201
insert 4047252 0,792419975526826 127
insert 7371690 0,603498449830105 340
insert 162274 0,609396930136437 338
insert 6199043 0,152269193507856 103
insert 459083 0,110795368492042 104
insert 8742520 0,765363068210596 301
insert 7961220 0,205415759331275 339
insert 4390049 0,80838340185973 135
insert 199294 0,576830976445615 235
insert 1585474 0,540074561508407 0
insert 5685634 0,463632380340077 250
insert 268862 0,0240375511460181 4
insert 7396430 0,989035871806106 329
insert 3522432 0,272918236568998 358
insert 8041047 0,745378638033466 135
insert 3142471 0,255609294984308 137
insert 6476901 0,622369483868764 298
insert 2271349 0,26634527988096 354
insert 6182031 0,965720321035814 354
insert 9769149 0,717239619101044 9
insert 2896127 0,857680038948394 24
insert 9392993 0,0513408943318487 247
insert 5906251 0,0190220996826059 31
insert 2796374 0,134609012927212 279
insert 9215001 0,443878797555286 335
insert 9452571 0,634900206064293 22
insert 9991499 0,705682303619423 115
insert 2734400 0,510857304330383 330
insert 1717878 0,34142843230694 71
insert 7111702 0,408683101371249 20
insert 276562 0,762728057691235 97
insert 8881388 0,062630494154352 149
insert 9271281 0,864805375628548 249
insert 6890017 0,723622018342662 85
insert 2946393 0,368052674163157 175
insert 522191 0,305634793036447 296
insert 527975 0,672945949562334 119
insert 9210318 0,977765074920731 4
insert 7054457 0,0161726921872109 124
insert 1516172 0,767511542312573 255
insert 4913497 0,879454910699024 219
insert 284405 0,251981190988785 133
insert 5045309 0,0333613488047204 137
insert 5172593 0,0181290255943914 277
insert 3689670 0,310148184332134 353
insert 846344 0,97880075777825 51
insert 4299446 0,119568679537423 12
insert 3748206 0,658372666993352 264
insert 7274971 0,106624447324604 282
insert 2602389 0,182693040083485 16
insert 684154 0,775510879594605 35
insert 9841252 0,197652013133118 303
insert 6262481 0,266198731151502 41
insert 1158795 0,547688203653176 98
insert 4412181 0,535538251295471 235
insert 5607252 0,552064789716185 240
insert 294970 0,620811305763578 13
insert 2040181 0,721672684290294 233
insert 6741188 0,116529094575219 79
insert 8746018 0,300943472097136 52
insert 5869179 0,244292006475987 306
insert 3347905 0,448843862139082 87
insert 6728009 0,384841738447939 40
insert 1378931 0,45838628916926 256
insert 267331 0,314065090992518 205
insert 7635201 0,933602439208702 44
insert 809202 0,166771830602908 199
insert 1173460 0,230741907018582 202
insert 90858 0,864397358551806 19
insert 4493509 0,310006458922292 29
insert 6230848 0,751646350487902 347
insert 9707147 0,528961543240101 109
insert 4216051 0,106427677490948 31
insert 4121987 0,887924287416006 60
insert 5551207 0,891603852571735 58
insert 3247699 0,177284957457932 146
insert 760623 0,91059862771565 65
insert 982478 0,793681618661471 48
insert 5907970 0,469571880283566 4
insert 2887865 0,325704633875612 210
insert 1887799 0,223450026578945 26
insert 313732 0,514808313695159 254
insert 7473467 0,0560184074826624 282
